cluster index	parent mass	RTMean	ATTRIBUTE_condition:GNPSGROUP:trich	ATTRIBUTE_condition:GNPSGROUP:control	ATTRIBUTE_condition:GNPSGROUP:nan	ATTRIBUTE_condition_detailed:GNPSGROUP:trich_1	ATTRIBUTE_condition_detailed:GNPSGROUP:control	ATTRIBUTE_condition_detailed:GNPSGROUP:trich_2	ATTRIBUTE_condition_detailed:GNPSGROUP:nan
3376	349.1965463193328	5.0075536	0.0	737997.375		0.0	737997.375	0.0	
3377	291.1958858368624	5.009221	1208628.5374999999	1363009.75		1508294.585	1363009.75	908962.49	
3378	349.19907258074994	5.010697	2946845.95	3475125.65		3627047.75	3475125.65	2266644.15	
3379	408.2233612448607	5.013568	1301767.7175	1344108.425		1425707.35	1344108.425	1177828.085	
3380	309.2064634248448	5.012287	1839652.9125	2211434.8		2283473.575	2211434.8	1395832.25	
3381	309.2042246225971	5.016039	0.0	628674.25		0.0	628674.25	0.0	
3382	130.1593902660803	5.0355806	1924314.825	2716608.475		1932407.75	2716608.475	1916221.9	
3383	1094.6281763305274	5.018563	610458.65	1767656.4		1220917.3	1767656.4	0.0	
3384	235.16971464632195	5.02518	1812973.2000000002	1050994.575		1905393.325	1050994.575	1720553.0750000002	
3385	162.9985696593617	5.0095167	1567099.75	1631732.7249999999		1247591.0250000001	1631732.7249999999	1886608.475	
3386	265.1800559829252	5.0257645	0.0	0.0		0.0	0.0	0.0	
3387	328.24820969407926	5.024477	0.0	0.0		0.0	0.0	0.0	
3388	193.1227972892922	5.03004	1201367.86875	1498604.65		1633832.0499999998	1498604.65	768903.6875	
3389	175.11218740717723	5.031254	2118904.7625	2524741.125		2705792.675	2524741.125	1532016.8499999999	
3390	175.11090051968898	5.033101	0.0	868812.375		0.0	868812.375	0.0	
3391	193.12137578854387	5.033101	0.0	507171.8		0.0	507171.8	0.0	
3392	293.20936591558245	5.033101	0.0	916006.2		0.0	916006.2	0.0	
3393	311.21977760997527	5.033101	0.0	2464418.25		0.0	2464418.25	0.0	
3394	351.2121229799359	5.033101	0.0	2203393.75		0.0	2203393.75	0.0	
3395	374.2877129601047	5.033101	0.0	457493.25		0.0	457493.25	0.0	
3396	850.407676867739	5.036256	1660553.5125000002	1376662.1		1885223.0750000002	1376662.1	1435883.9500000002	
3397	227.9832724371852	5.0451527	620276.02625	745559.2975		595827.515	745559.2975	644724.5375000001	
3398	190.99348649438903	5.0276375	2345476.625	2041487.3		2321751.2	2041487.3	2369202.05	
3399	283.15442596583034	5.042391	843016.54	962552.525		1007099.68	962552.525	678933.3999999999	
3400	493.2802127730797	5.04623	1618348.0875	1943570.2		1774804.725	1943570.2	1461891.45	
3401	695.3259343803652	5.0457215	2931795.4125	4555396.25		3424494.9	4555396.25	2439095.925	
3402	690.3705495031854	5.04623	5074356.6	5928093.625		5671328.125	5928093.625	4477385.075	
3403	139.9880910753405	5.0445585	2501048.7125	3117854.525		2136109.625	3117854.525	2865987.8	
3404	883.4700610777004	5.0517044	1262160.75	958879.75		1219234.1	958879.75	1305087.4	
3405	729.3311055595574	5.049658	635148.6875	3180438.625		1270297.375	3180438.625	0.0	
3406	724.3755617816039	5.049759	2152160.6375	7080011.375		3583320.55	7080011.375	721000.7250000001	
3407	246.22200846741544	5.0527	20488370.5	18490045.5		23215734.0	18490045.5	17761007.0	
3408	139.98275422987157	5.048508	998495.11875	842906.2		830558.075	842906.2	1166432.1625	
3409	154.99061823385162	5.0492597	1511920.175	1357436.5		1542133.075	1357436.5	1481707.275	
3410	199.9883187235177	5.0390763	4905083.4375	5375092.375		4357827.125	5375092.375	5452339.75	
3411	246.2201236652744	5.0581493	0.0	10307640.0		0.0	10307640.0	0.0	
3412	516.2313398417936	5.0540385	0.0	0.0		0.0	0.0	0.0	
3413	533.2575489146751	5.059387	0.0	0.0		0.0	0.0	0.0	
3414	538.2126056698417	5.055913	0.0	0.0		0.0	0.0	0.0	
3415	561.288770181371	5.059387	0.0	0.0		0.0	0.0	0.0	
3416	181.12271619434443	5.0607357	3229328.275	1939362.375		3219105.5999999996	1939362.375	3239550.9499999997	
3417	277.21669434230773	5.0656137	347510.645	662677.95		695021.29	662677.95	0.0	
3418	525.2700427811625	5.0626373	858354.0	1124708.45		1409926.6500000001	1124708.45	306781.35	
3419	181.121328383126	5.0666366	0.0	1554740.375		0.0	1554740.375	0.0	
3420	169.9777678864689	5.0884585	2008698.175	2043084.05		1932214.7000000002	2043084.05	2085181.6500000001	
3421	171.99337439067062	5.0745344	1550941.6	1607817.7		1499248.825	1607817.7	1602634.375	
3422	372.2749875191907	5.0931025	689494.6125	476424.86		715737.05	476424.86	663252.175	
3423	349.1991017469276	5.0850058	2280619.0875	2192122.45		2737037.425	2192122.45	1824200.75	
3424	263.16472521148046	5.0916905	1884767.905	520056.275		1640391.1099999999	520056.275	2129144.7	
3425	344.2436083262887	5.091435	540893.4875	327316.8		645037.275	327316.8	436749.7	
3426	208.0382629100616	5.092074	0.0	361541.45		0.0	361541.45	0.0	
3427	344.2411898247548	5.092074	0.0	655671.95		0.0	655671.95	0.0	
3428	349.1965246390768	5.092074	0.0	1379769.75		0.0	1379769.75	0.0	
3429	372.2722525456898	5.092074	0.0	672289.3		0.0	672289.3	0.0	
3430	355.15434849266387	5.095549	1096104.225	1059784.875		1175702.35	1059784.875	1016506.1	
3431	373.1650894268123	5.100692	333403.78125	320320.92500000005		389564.2625	320320.92500000005	277243.3	
3432	373.1623835906972	5.100551	0.0	411486.55		0.0	411486.55	0.0	
3433	727.3518986897786	5.106147	524219.14875	1000091.875		789989.0475	1000091.875	258449.25	
3434	722.3970580170735	5.109514	470937.7625	870008.0750000001		680461.925	870008.0750000001	261413.6	
3435	337.14150801375	5.1090384	0.0	415038.4		0.0	415038.4	0.0	
3436	355.15183476268334	5.1090384	0.0	618445.25		0.0	618445.25	0.0	
3437	158.9616917965988	5.1069765	2066576.875	2031847.125		2049848.55	2031847.125	2083305.1999999997	
3438	291.19589419971146	5.12129	3857200.925	3891202.875		3764959.55	3891202.875	3949442.3	
3439	273.1853687338537	5.121977	1129195.0550000002	1272040.85		1010811.56	1272040.85	1247578.5499999998	
3440	273.1833834039841	5.125907	0.0	661852.2		0.0	661852.2	0.0	
3441	291.19379844450793	5.125907	0.0	2148198.75		0.0	2148198.75	0.0	
3442	711.3212256925882	5.1314473	117814.7	566729.175		235629.4	566729.175	0.0	
3443	579.1498745381415	5.1305323	0.0	0.0		0.0	0.0	0.0	
