id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_000022_01_01.mzML:feature_state,datafile:20250402_PMA_tp24_000022_01_01.mzML:area,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt,datafile:20250402_PMA_tp24_000022_01_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000022_01_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000022_01_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000022_01_01.mzML:fwhm,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000022_01_01.mzML:mz,datafile:20250402_PMA_tp24_000022_01_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000022_01_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000022_01_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000022_01_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000022_01_01.mzML:height,datafile:20250402_PMA_tp24_000022_01_01.mzML:charge,datafile:20250402_PMA_tp24_000022_01_01.mzML:isotopes
60,7.338E5,0.375,192.06192,192.06236,1,0.3354,0.4148,192.06198,8.226E5,2.271E7,2.271E7,,DETECTED,7.338E5,0.375,192.06192,192.06236,1,-0.0017,0.0344,0.3354,0.4148,192.06198,8.226E5,2.271E7,0.646,0.7964,2.271E7,,
61,9.159E4,0.375,193.06261,193.0636,0,0.3434,0.3988,193.06321,6.16E5,3.401E6,3.401E6,,DETECTED,9.159E4,0.375,193.06261,193.0636,,,0.026,0.3434,0.3988,193.06321,6.16E5,3.401E6,0.5486,0.877,3.401E6,,
62,1.788E5,0.375,197.04099,197.04126,0,0.3354,0.3988,197.04105,7.344E5,6.415E6,6.415E6,,DETECTED,1.788E5,0.375,197.04099,197.04126,,,0.0251,0.3354,0.3988,197.04105,7.344E5,6.415E6,0.5449,0.8007,6.415E6,,
63,1.749E6,0.375,200.97265,200.97342,1,0.3354,0.3988,200.97312,2.333E6,5.944E7,5.944E7,,DETECTED,1.749E6,0.375,200.97265,200.97342,1,-0.0175,0.0328,0.3354,0.3988,200.97312,2.333E6,5.944E7,0.4973,0.7479,5.944E7,,
64,4.326E5,0.375,201.97386,201.97409,0,0.3354,0.3988,201.97392,6.28E5,1.514E7,1.514E7,,DETECTED,4.326E5,0.375,201.97386,201.97409,,,0.0303,0.3354,0.3988,201.97392,6.28E5,1.514E7,0.496,0.747,1.514E7,,
65,4.35E5,0.375,202.97041,202.97121,0,0.3354,0.3988,202.97055,5.201E5,1.439E7,1.439E7,,DETECTED,4.35E5,0.375,202.97041,202.97121,,,0.0341,0.3354,0.3988,202.97055,5.201E5,1.439E7,0.4913,0.7459,1.439E7,,
66,1.468E5,0.375,209.02567,209.02591,0,0.3354,0.3908,209.02582,5.72E5,5.321E6,5.321E6,,DETECTED,1.468E5,0.375,209.02567,209.02591,,,0.0291,0.3354,0.3908,209.02582,5.72E5,5.321E6,0.4989,0.7002,5.321E6,,
67,1.73E5,0.375,209.07704,209.0777,0,0.3354,0.3988,209.0772,5.816E5,5.772E6,5.772E6,,DETECTED,1.73E5,0.375,209.07704,209.0777,,,0.0289,0.3354,0.3988,209.0772,5.816E5,5.772E6,0.5083,0.8007,5.772E6,,
68,3.269E5,0.375,214.00366,214.00511,0,0.3354,0.3988,214.00484,6.909E5,1.082E7,1.082E7,,DETECTED,3.269E5,0.375,214.00366,214.00511,,,0.0315,0.3354,0.3988,214.00484,6.909E5,1.082E7,0.4967,0.75,1.082E7,,
69,1.042E6,0.375,219.98457,219.98495,0,0.3354,0.3988,219.98464,2.182E6,3.562E7,3.562E7,,DETECTED,1.042E6,0.375,219.98457,219.98495,,,0.0316,0.3354,0.3988,219.98464,2.182E6,3.562E7,0.4954,0.7491,3.562E7,,
70,1.05E6,0.375,220.98116,220.98154,0,0.3354,0.3988,220.9812,2.212E6,3.4E7,3.4E7,,DETECTED,1.05E6,0.375,220.98116,220.98154,,,0.0354,0.3354,0.3988,220.9812,2.212E6,3.4E7,0.496,0.7479,3.4E7,,
71,5.638E6,0.375,223.98891,223.98979,2,0.3354,0.3988,223.98911,5.128E5,1.885E8,1.885E8,,DETECTED,5.638E6,0.375,223.98891,223.98979,2,-0.022,0.0318,0.3354,0.3988,223.98911,5.128E5,1.885E8,0.4974,0.7482,1.885E8,,
72,1.498E6,0.375,224.98923,224.99037,0,0.3354,0.3988,224.99013,2.036E6,5.113E7,5.113E7,,DETECTED,1.498E6,0.375,224.98923,224.99037,,,0.0315,0.3354,0.3988,224.99013,2.036E6,5.113E7,0.4962,0.7466,5.113E7,,
73,1.482E6,0.375,225.98639,225.98685,0,0.3354,0.3988,225.98644,2.168E6,5.014E7,5.014E7,,DETECTED,1.482E6,0.375,225.98639,225.98685,,,0.0313,0.3354,0.3988,225.98644,2.168E6,5.014E7,0.4974,0.7484,5.014E7,,
74,3.847E5,0.375,237.02081,237.02113,1,0.3354,0.3988,237.0209,6.298E5,1.352E7,1.352E7,,DETECTED,3.847E5,0.375,237.02081,237.02113,1,0.014,0.0302,0.3354,0.3988,237.0209,6.298E5,1.352E7,0.4829,0.7417,1.352E7,,
75,1.054E5,0.375,239.01688,239.01826,0,0.3354,0.3908,239.01798,7.229E5,4.021E6,4.021E6,,DETECTED,1.054E5,0.375,239.01688,239.01826,,,0.0347,0.3354,0.3908,239.01798,7.229E5,4.021E6,0.4552,0.7002,4.021E6,,
76,1.575E6,0.375,239.96669,239.96715,1,0.3354,0.3988,239.96675,2.993E6,5.337E7,5.337E7,,DETECTED,1.575E6,0.375,239.96669,239.96715,1,-0.0119,0.0302,0.3354,0.3988,239.96675,2.993E6,5.337E7,0.4898,0.7442,5.337E7,,
77,2.796E5,0.375,240.95316,240.95345,0,0.3354,0.3988,240.95326,6.143E5,7.813E6,7.813E6,,DETECTED,2.796E5,0.375,240.95316,240.95345,,,0.0474,0.3354,0.3988,240.95326,6.143E5,7.813E6,0.3939,0.7045,7.813E6,,
