id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:area,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:mz,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:height,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:isotopes
59,1.106E5,3.1047,173.07912,173.08131,2,3.0352,3.148,173.08112,5.326E5,1.638E6,1.638E6,,DETECTED,1.106E5,3.1047,173.07912,173.08131,2,-0.0458,0.1116,3.0352,3.148,173.08112,5.326E5,1.638E6,0.6225,0.8113,1.638E6,,
60,3.413E5,3.1047,217.10541,217.1073,4,3.0178,3.2089,217.10722,5.606E5,4.178E6,4.178E6,,DETECTED,3.413E5,3.1047,217.10541,217.1073,4,-0.0645,0.0869,3.0178,3.2089,217.10722,5.606E5,4.178E6,1.9657,1.0998,4.178E6,,
61,8.316E5,3.1047,550.32489,550.32568,3,3.0788,3.2176,550.32522,5.328E5,2.873E7,2.873E7,1,DETECTED,8.316E5,3.1047,550.32489,550.32568,3,-0.0046,0.0237,3.0788,3.2176,550.32522,5.328E5,2.873E7,2.2636,1.8368,2.873E7,1,2
63,7.549E4,3.1833,182.1906,182.19072,1,3.1568,3.2176,182.19065,5.251E5,2.471E6,2.471E6,,DETECTED,7.549E4,3.1833,182.1906,182.19072,1,-0.0038,0.0285,3.1568,3.2176,182.19065,5.251E5,2.471E6,1.2918,1.1459,2.471E6,,
64,7.043E5,3.1918,594.3512,594.35175,2,3.1656,3.2964,594.35134,5.266E5,2.583E7,2.583E7,1,DETECTED,7.043E5,3.1918,594.3512,594.35175,2,-0.0046,0.0224,3.1656,3.2964,594.35134,5.266E5,2.583E7,2.1253,1.7708,2.583E7,1,2
66,5.382E5,3.2703,638.37756,638.37848,2,3.2531,3.3576,638.37775,5.498E5,1.974E7,1.974E7,1,DETECTED,5.382E5,3.2703,638.37756,638.37848,2,-0.0046,0.023,3.2531,3.3576,638.37775,5.498E5,1.974E7,1.9457,1.7364,1.974E7,1,2
68,4.243E5,3.3403,163.13306,163.13316,5,3.2789,3.517,163.13311,5.014E5,5.398E6,5.398E6,,DETECTED,4.243E5,3.3403,163.13306,163.13316,5,-0.0389,0.0632,3.2789,3.517,163.13311,5.014E5,5.398E6,3.027,3.0851,5.398E6,,
69,1.067E5,3.3403,185.11505,185.11514,2,3.2964,3.393,185.11509,5.544E5,1.851E6,1.851E6,,DETECTED,1.067E5,3.3403,185.11505,185.11514,2,-0.0201,0.0579,3.2964,3.393,185.11509,5.544E5,1.851E6,1.2003,1.1002,1.851E6,,
70,2.817E5,3.3489,682.40405,682.4046,2,3.3228,3.393,682.40416,5.377E5,1.112E7,1.112E7,,DETECTED,2.817E5,3.3489,682.40405,682.4046,2,-0.0133,0.0313,3.3228,3.393,682.40416,5.377E5,1.112E7,1.441,1.1681,1.112E7,,
71,8.949E4,3.6048,155.04691,155.04697,1,3.5702,3.6398,155.04692,6.904E5,2.125E6,2.125E6,,DETECTED,8.949E4,3.6048,155.04691,155.04697,1,-0.0124,0.0448,3.5702,3.6398,155.04692,6.904E5,2.125E6,1.0113,1.0056,2.125E6,,
