formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C15H27FO3	[M - H2O + H]+	C15H26FO2+	0.962	0.500	45.364	45.364	0.000	9	0.097	3.099	3.099	-70023.006		257.192	352	5.861	707605677723274099	707602843988490883	3774	
1	C18H28O3	[M - H2O + H]+	C18H27O2+	1.000	0.500	276.582	273.390	3.192	55	0.971	3.634	3.634	-65438.910		275.202	352	5.862	707605633565639546	707602844034628235	3776	
1	C25H42N4O5S	[M + Na]+	C25H42N4NaO5S+	1.000	1.000	132.975	132.975	0.000	42	0.787	-0.935	2.243	-0.107		533.277	352	5.865	707605768341213651	707602844101737111	3779	
1	C27H42O9	[M + H3N + H]+	C27H46NO9+	1.000	0.000	190.591	188.611	1.980	46	0.752	6.559	6.559	4.451		528.319	352	5.865	707605683523996674	707602844122708635	3780	
1	C30H33N3O5	[M + H3N + H]+	C30H37N4O5+	0.305	0.303	116.453	113.459	2.994	30	0.655	4.940	4.940	-2.188		533.275	352	5.865	707605681829497767	707602844143680159	3781	
1	C18H30O5	[M - H2O + H]+	C18H29O4+	0.625	0.500	87.726	87.726	0.000	14	0.471	3.345	3.345	-58246.207		309.206	352	5.867	707605644277892579	707602844336618179	3790	
1	ClH3N2O3S	[M - H2O + H]+	ClH2N2O2S+	1.000	0.210	-1.278	-1.278	0.000	0	0.000	-1.112	1.112	-139670.183		128.952	352	5.868	707605763358380421	707602844533750503	3799	
1	C15H27FO3	[M + H]+	C15H28FO3+	0.657	0.500	101.441	101.441	0.000	19	0.409	0.453	0.834	4.036		275.203	352	5.868	707605760799854943	707602844575693551	3801	
1	C10H4O2	[M - H2O + H]+	C10H3O+	1.000	0.407	3.659	3.659	0.000	0	0.000	5.135	5.135	-129547.744		139.019	352	5.868	707605634178007966	707602844055599759	3777	
1	C18H30O4	[M - H2O + H]+	C18H29O3+	1.000	0.500	133.664	133.664	0.000	20	0.297	4.987	4.987	-61418.407		293.213	352	5.872	707605642952492457	707602844470835931	3796	
